"Buurten";"Naam van de buurt";"Aantal 0 tem 17-jarigen";"Aantal 18 tem 64-jarigen";"Aantal 65-plussers";"Aantal 80 tem 89-jarigen";"Aantal 90+'ers";"Interne vergrijzing";"Bevolkingsdichtheid (inw/ha)";"Bevolkingsdichtheid woongebied"
"Q2AA";"T LAAR";304;921;232;33;".";15,9;54;7982
"Q2PP";"ME-MERKSEMSE POLDER";".";7;".";".";".";".";".";"."
"Q30-";"KLEINE BAREEL";65;158;49;18;".";38,8;10;3542
"Q39-";"T FORT";".";".";".";".";".";"-";".";"."
"Q49-";"SPORTPALEIS";".";".";".";".";".";"-";".";"."
"R00-";"DEURNE - GEMEENTEHUIS";222;511;131;35;6;31,3;74;10773
"R01-";"PLANKENBERG";644;1705;490;127;24;30,8;157;16441
"R02-";"DEURNE-HET DORP";345;826;203;55;13;33,5;56;9718
"R03-";"GALLIFORT";1443;2768;536;104;24;23,9;169;17849
"R04-";"KREGLINGER";427;1087;259;51;8;22,8;135;13504
"R05-";"TER RIVIEREN";595;1694;456;102;18;26,3;121;12110
"R099";"RIVIERENHOF-NOORD";6;19;".";".";".";".";".";"."
"R101";"KRONENBURG";2110;3822;492;96;21;23,8;166;17788
"R110";"BISSCHOPPENHOF";1185;2912;1272;415;133;43,1;114;14169
"R12-";"CONFORTA";1215;2546;363;59;16;20,7;167;16684
"R13-";"TEN EEKHOVE";2032;3823;617;121;47;27,2;120;16415
"R172";"KANAAL";14;27;10;".";".";".";".";"."
"R180";"BREM";322;827;213;46;7;24,9;21;11615
"R19-";"KRUININGE";220;568;185;45;38;44,9;14;5012
"R20-";"VENNEBORG";965;2625;874;239;39;31,8;131;13285
"R21-";"MORTELHOEK";664;1946;891;245;41;32,1;114;20390
"R22-";"ERTBRUGGE";315;915;390;130;22;39,0;124;12441
"R23-";"ZWARTE AREND";828;2012;683;184;43;33,2;72;12787
"R24-";"SCHOTENSTEENWEG";750;1866;446;92;18;24,7;121;12092
"R28-";"RUGGEVELD";26;71;12;".";".";8,3;2;"."
"R29-";"ERTBRUGGE VELD";"";"";"";"";"";"";"";""
"R30-";"T MESTPUTTEKE";390;938;177;41;7;27,1;101;10064
"R31-";"DRIEKONINGEN";1190;2630;841;220;72;34,7;91;9525
"R32-";"ARENA";385;982;343;103;11;33,2;89;8856
"R33-";"KRIEKENHOF";681;1874;478;87;21;22,6;131;13141
"R34-";"MUGGENBERG";412;1065;170;28;6;20,0;177;17723
"R35-";"MORKHOVEN";799;1830;571;175;64;41,9;140;17243
"R39-";"BOTERLAARHOF";7;16;".";".";".";".";".";"-"
"R401";"BOEKENBERG";696;1897;658;160;64;34,0;95;9636
"R41-";"DRAKENHOF";528;1406;589;131;15;24,8;50;6718
"R42-";"BOEKENBERGLEI";267;813;243;62;14;31,3;73;7658
"R43-";"EKSTERLAAR";895;2198;789;227;89;40,1;89;10255
"R44-";"BOTERLAAR - SILSBURG";697;1621;660;202;57;39,2;53;8261
"R47-";"VLIEGVELD";22;79;13;".";".";15,4;1;3460
"R482";"BOEKENBERGPARK";".";".";".";".";".";".";".";"."
"S00-";"BORGERHOUT - GEMEENTEHUIS";1058;2986;539;110;30;26,0;204;20415
"S01-";"FONTEINSTRAAT";1089;2354;544;134;37;31,4;189;20077
"S02-";"DEN BLEEKHOF";846;2396;480;102;33;28,1;175;17550
"S03-";"KROONSTRAAT-WEST";613;1812;251;45;".";19,1;231;23060
"S04-";"HET LAAR";920;2408;441;90;15;23,8;199;19871
"S05-";"KATTENBERG";622;1636;286;58;11;24,1;198;19790
"S10-";"STENENBRUG-ZUID";396;1074;227;66;11;33,9;135;15682
"S11-";"COLLEGE";776;1991;522;132;40;33,0;119;13037
"S12-";"VAN DE PERRELEI";708;1703;398;107;22;32,4;124;12435
"S13-";"BOELAERPARK-NOORD";275;704;188;47;19;35,1;131;13088
"S19-";"TE BOELAERPARK";"";"";"";"";"";"";"";""
"S20-";"FOORPLEIN";207;543;118;22;".";19,5;176;18707
"S28-";"DEURNE - HUISKENS";"";"";"";"";"";"";"";""
"S2MJ";"E3 - E39";134;443;160;51;9;37,5;8;23440
"S30-";"DE PEPERBUS";997;2582;355;72;18;25,4;221;22917
"S31-";"ST.-ANNA";1202;2742;492;107;39;29,7;250;26175
"S41-";"LABORATORIUM";551;1457;301;65;13;25,9;116;11593
"S42-";"GITSCHOTEL";525;1636;861;268;121;45,2;134;13400
"S43-";"CRUYSLEI";425;972;242;44;14;24,0;120;12058
"T00-";"OP TEN BERGH";757;2319;436;104;53;36,0;170;16983
"T01-";"POSTHOF";538;1728;232;58;11;29,7;174;18203
"T02-";"HOFVELD";251;846;212;53;32;40,1;131;13165
